user_id,start_year,start_month,start_day,start_hour,start_minute,end_year,end_month,end_day,end_hour,end_minute
1,2019,2,28,0,25,2019,2,28,5,9
2,2018,2,27,17,14,2018,2,28,16,3
3,2018,1,17,21,3,2018,1,18,1,18
4,2019,9,27,13,13,2019,9,28,7,19
5,2018,7,26,10,12,2018,7,26,16,34
6,2019,11,2,7,13,2019,11,3,6,27
7,2018,1,27,5,22,2018,1,27,9,36
8,2019,1,16,2,47,2019,1,16,19,43
9,2018,4,17,13,46,2018,4,18,0,59
10,2018,9,4,1,16,2018,9,4,11,35
11,2019,9,4,20,41,2019,9,5,6,55
12,2019,4,1,17,39,2019,4,2,11,33
13,2019,2,17,5,12,2019,2,17,6,11
14,2019,12,23,3,42,2019,12,23,16,1
15,2018,2,28,14,12,2018,3,1,0,41
16,2018,10,15,22,7,2018,10,16,6,14
17,2018,4,10,6,21,2018,4,10,12,7
18,2019,1,30,15,39,2019,1,31,7,57
19,2019,11,22,18,2,2019,11,22,21,34
20,2019,1,13,8,31,2019,1,14,9,22
21,2019,5,2,0,6,2019,5,2,12,44
22,2019,4,1,1,8,2019,4,1,4,45
23,2018,11,11,6,50,2018,11,11,13,43
24,2018,10,11,14,35,2018,10,12,13,8
25,2019,4,27,16,12,2019,4,28,14,52
26,2019,8,28,10,8,2019,8,28,21,16
27,2019,4,9,9,44,2019,4,9,22,22
28,2018,12,9,3,46,2018,12,9,17,0
29,2018,7,14,9,13,2018,7,14,23,10
30,2018,5,19,0,0,2018,5,19,1,3
31,2019,5,13,17,12,2019,5,14,7,5
32,2019,4,18,12,2,2019,4,19,2,27
33,2018,4,20,10,22,2018,4,20,20,7
34,2018,4,21,2,15,2018,4,21,22,0
35,2019,8,20,20,17,2019,8,21,17,29
36,2018,2,4,15,9,2018,2,5,1,1
37,2018,1,1,8,24,2018,1,1,17,13
38,2019,5,6,18,19,2019,5,7,7,17
39,2018,11,6,4,54,2018,11,7,1,29
40,2018,12,10,18,45,2018,12,11,0,47
41,2019,6,6,21,30,2019,6,7,14,25
42,2019,7,18,12,43,2019,7,18,19,19
43,2019,1,25,18,15,2019,1,26,16,31
44,2019,12,17,10,17,2019,12,17,14,8
45,2018,6,17,7,46,2018,6,17,23,35
46,2018,1,25,9,20,2018,1,25,11,20
47,2018,10,3,14,34,2018,10,3,18,39
48,2019,8,31,14,17,2019,9,1,6,6
49,2018,12,14,23,41,2018,12,15,9,57
50,2018,8,27,11,3,2018,8,28,5,29
51,2019,4,14,13,14,2019,4,14,14,58
52,2018,7,31,14,48,2018,8,1,2,57
53,2019,8,8,7,35,2019,8,8,16,26
54,2019,1,29,4,55,2019,1,29,23,15
55,2018,11,27,12,29,2018,11,27,19,47
56,2019,8,5,0,20,2019,8,5,8,59
57,2019,6,25,2,11,2019,6,25,22,26
58,2018,3,2,0,54,2018,3,2,4,40
59,2019,12,8,0,28,2019,12,8,13,41
60,2018,6,20,17,55,2018,6,21,9,26
61,2018,12,20,13,30,2018,12,20,17,34
62,2019,6,10,9,35,2019,6,10,11,25
63,2018,12,20,22,54,2018,12,21,18,47
64,2018,10,10,16,37,2018,10,11,11,27
65,2019,3,13,17,19,2019,3,14,5,58
66,2019,11,7,21,16,2019,11,8,20,21
67,2018,3,18,22,9,2018,3,19,13,44
68,2019,8,21,5,11,2019,8,21,19,44
69,2019,7,19,15,57,2019,7,19,22,50
70,2019,1,7,15,23,2019,1,8,13,12
71,2018,9,5,9,10,2018,9,5,15,56
72,2019,10,30,15,22,2019,10,30,20,13
73,2019,3,28,2,6,2019,3,28,2,58
74,2019,10,18,5,15,2019,10,18,7,39
75,2019,6,2,16,3,2019,6,3,1,29
76,2018,2,19,12,10,2018,2,20,4,29
77,2018,6,26,2,34,2018,6,26,7,0
78,2018,6,16,7,15,2018,6,17,2,46
79,2019,8,7,22,56,2019,8,8,19,7
80,2018,11,20,17,15,2018,11,20,23,52
81,2018,12,20,19,41,2018,12,21,16,48
